DISTRICT,DD200AC01218R,DD200AC01318R,DD200AC01S18R,DD200AM01218R,DD200AM01318R,DD200AM01S18R,DD200AR01218R,DD200AR01318R,DD200AR01S18R,DD200AS01218R,DD200AS01318R,DD200AS01S18R,DD200AW01218R,DD200AW01318R,DD200AW01S18R,DD300AC01218R,DD300AC01318R,DD300AC01S18R,DD300AM01218R,DD300AM01318R,DD300AM01S18R,DD300AR01218R,DD300AR01318R,DD300AR01S18R,DD300AS01218R,DD300AS01318R,DD300AS01S18R,DD300AW01218R,DD300AW01318R,DD300AW01S18R,DD400AC01218R,DD400AC01318R,DD400AC01S18R,DD400AM01218R,DD400AM01318R,DD400AM01S18R,DD400AR01218R,DD400AR01318R,DD400AR01S18R,DD400AS01218R,DD400AS01318R,DD400AS01S18R,DD400AW01218R,DD400AW01318R,DD400AW01S18R,DDA00AC01218R,DDA00AC01318R,DDA00AC01S18R,DDA00AM01218R,DDA00AM01318R,DDA00AM01S18R,DDA00AR01218R,DDA00AR01318R,DDA00AR01S18R,DDA00AS01218R,DDA00AS01318R,DDA00AS01S18R,DDA00AW01218R,DDA00AW01318R,DDA00AW01S18R,DDB00AC01218R,DDB00AC01318R,DDB00AC01S18R,DDB00AM01218R,DDB00AM01318R,DDB00AM01S18R,DDB00AR01218R,DDB00AR01318R,DDB00AR01S18R,DDB00AS01218R,DDB00AS01318R,DDB00AS01S18R,DDB00AW01218R,DDB00AW01318R,DDB00AW01S18R,DDE00AC01218R,DDE00AC01318R,DDE00AC01S18R,DDE00AM01218R,DDE00AM01318R,DDE00AM01S18R,DDE00AR01218R,DDE00AR01318R,DDE00AR01S18R,DDE00AS01218R,DDE00AS01318R,DDE00AS01S18R,DDE00AW01218R,DDE00AW01318R,DDE00AW01S18R,DDF00AC01218R,DDF00AC01318R,DDF00AC01S18R,DDF00AM01218R,DDF00AM01318R,DDF00AM01S18R,DDF00AR01218R,DDF00AR01318R,DDF00AR01S18R,DDF00AS01218R,DDF00AS01318R,DDF00AS01S18R,DDF00AW01218R,DDF00AW01318R,DDF00AW01S18R,DDH00AC01218R,DDH00AC01318R,DDH00AC01S18R,DDH00AM01218R,DDH00AM01318R,DDH00AM01S18R,DDH00AR01218R,DDH00AR01318R,DDH00AR01S18R,DDH00AS01218R,DDH00AS01318R,DDH00AS01S18R,DDH00AW01218R,DDH00AW01318R,DDH00AW01S18R,DDI00AC01218R,DDI00AC01318R,DDI00AC01S18R,DDI00AM01218R,DDI00AM01318R,DDI00AM01S18R,DDI00AR01218R,DDI00AR01318R,DDI00AR01S18R,DDI00AS01218R,DDI00AS01318R,DDI00AS01S18R,DDI00AW01218R,DDI00AW01318R,DDI00AW01S18R,DDL00AC01218R,DDL00AC01318R,DDL00AC01S18R,DDL00AM01218R,DDL00AM01318R,DDL00AM01S18R,DDL00AR01218R,DDL00AR01318R,DDL00AR01S18R,DDL00AS01218R,DDL00AS01318R,DDL00AS01S18R,DDL00AW01218R,DDL00AW01318R,DDL00AW01S18R,DDM00AC01218R,DDM00AC01318R,DDM00AC01S18R,DDM00AM01218R,DDM00AM01318R,DDM00AM01S18R,DDM00AR01218R,DDM00AR01318R,DDM00AR01S18R,DDM00AS01218R,DDM00AS01318R,DDM00AS01S18R,DDM00AW01218R,DDM00AW01318R,DDM00AW01S18R,DDR00AC01218R,DDR00AC01318R,DDR00AC01S18R,DDR00AM01218R,DDR00AM01318R,DDR00AM01S18R,DDR00AR01218R,DDR00AR01318R,DDR00AR01S18R,DDR00AS01218R,DDR00AS01318R,DDR00AS01S18R,DDR00AW01218R,DDR00AW01318R,DDR00AW01S18R,DDS00AC01218R,DDS00AC01318R,DDS00AC01S18R,DDS00AM01218R,DDS00AM01318R,DDS00AM01S18R,DDS00AR01218R,DDS00AR01318R,DDS00AR01S18R,DDS00AS01218R,DDS00AS01318R,DDS00AS01S18R,DDS00AW01218R,DDS00AW01318R,DDS00AW01S18R,DDW00AC01218R,DDW00AC01318R,DDW00AC01S18R,DDW00AM01218R,DDW00AM01318R,DDW00AM01S18R,DDW00AR01218R,DDW00AR01318R,DDW00AR01S18R,DDW00AS01218R,DDW00AS01318R,DDW00AS01S18R,DDW00AW01218R,DDW00AW01318R,DDW00AW01S18R
"001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,17,81,55,25,86,56,22,82,39,22,72,41,11,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,11,74,38,15,78,43,16,74,33,16,73,-1,-1,-1,44,14,79,64,28,91,62,25,87,26,17,69,47,18,71,-1,-1,-1,40,24,76,46,21,71,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,49,19,83,48,22,82,50,19,78,49,26,74,-1,-1,-1,-1,-1,-1,29,12,73,27,5,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,19,81,58,26,87,57,22,84,43,25,74,41,11,63
"001903",-1,-1,-1,61,28,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,47,18,84,56,26,87,52,20,80,48,31,73,53,12,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,11,81,48,19,83,41,13,75,48,28,68,-1,-1,-1,46,19,83,60,27,88,62,25,87,48,25,73,62,17,80,39,18,86,55,30,90,51,25,76,43,36,79,74,26,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,47,17,84,53,25,85,43,16,73,48,36,73,47,8,73,-1,-1,-1,30,11,75,-1,-1,-1,58,33,79,-1,-1,-1,-1,-1,-1,25,10,50,18,7,48,35,25,55,-1,-1,-1,48,19,85,58,26,87,54,21,81,51,31,76,52,11,77
"001904",-1,-1,-1,-1,-1,-1,38,21,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,23,83,55,28,86,51,24,79,48,26,79,47,15,74,-1,-1,-1,-1,-1,-1,37,15,61,-1,-1,-1,-1,-1,-1,46,13,76,45,19,80,40,17,70,31,15,66,34,9,62,60,21,83,56,29,85,55,28,82,49,26,79,53,17,77,-1,-1,-1,62,22,86,46,15,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,24,83,54,26,87,48,20,76,47,26,79,42,12,70,-1,-1,-1,31,8,70,20,9,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,12,56,26,20,44,-1,-1,-1,-1,-1,-1,60,25,83,58,31,87,53,26,81,49,26,80,51,17,76
"001906",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,35,91,49,19,91,57,23,85,55,25,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,21,90,44,15,87,44,15,79,-1,-1,-1,-1,-1,-1,70,43,93,51,19,90,67,32,90,55,28,86,-1,-1,-1,-1,-1,-1,37,19,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,68,25,89,45,19,91,45,13,80,55,23,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,42,96,50,18,95,63,27,88,55,29,83,-1,-1,-1
"001907",34,28,69,34,19,73,41,18,72,56,33,67,-1,-1,-1,-1,-1,-1,83,67,83,75,38,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,37,13,72,43,19,76,35,12,67,41,18,69,31,8,58,19,5,60,30,9,67,24,8,57,27,9,63,25,7,55,30,8,67,38,15,73,29,9,61,31,10,63,25,5,51,36,13,72,44,20,76,39,15,72,39,14,69,40,10,64,39,11,73,45,19,78,33,9,65,40,15,65,28,5,55,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,30,8,67,17,6,49,-1,-1,-1,-1,-1,-1,39,14,72,42,19,76,31,10,62,43,22,70,24,6,54,17,2,60,27,7,67,19,3,53,29,6,61,-1,-1,-1,-1,-1,-1,26,9,47,17,5,38,-1,-1,-1,-1,-1,-1,55,22,82,54,29,83,49,20,77,53,30,83,43,15,66
"001908",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,10,68,38,15,72,37,11,65,37,15,69,-1,-1,-1,-1,-1,-1,23,10,58,27,5,50,-1,-1,-1,-1,-1,-1,25,8,63,34,13,67,33,10,62,37,14,67,-1,-1,-1,28,11,70,42,16,73,41,12,71,42,18,75,-1,-1,-1,-1,-1,-1,35,12,68,29,9,63,39,14,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,9,66,36,13,71,33,10,60,32,12,62,-1,-1,-1,16,4,55,25,6,62,20,4,50,20,6,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,6,28,-1,-1,-1,-1,-1,-1,39,14,74,46,18,78,44,15,72,38,15,72,-1,-1,-1
"001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,20,85,39,11,84,56,20,84,43,17,78,51,17,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,42,12,79,28,5,76,45,15,82,-1,-1,-1,-1,-1,-1,47,14,81,33,10,84,61,20,91,-1,-1,-1,53,22,86,-1,-1,-1,-1,-1,-1,75,42,92,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,23,88,46,11,84,51,21,78,39,21,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,20,85,37,9,83,54,18,84,42,14,78,48,15,80
"002901",-1,-1,-1,56,41,92,58,27,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,40,17,73,43,19,79,40,15,70,47,26,77,32,6,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,7,61,29,10,69,29,7,60,34,18,66,21,3,43,38,12,72,44,20,79,45,16,75,45,23,74,34,9,59,35,12,68,38,16,75,35,11,66,42,22,74,26,5,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,6,60,19,6,42,-1,-1,-1,-1,-1,-1,43,20,75,42,19,79,36,13,66,49,29,80,30,4,55,18,3,57,22,5,65,19,3,50,23,9,64,12,2,34,14,7,43,16,5,44,13,3,28,-1,-1,-1,-1,-1,-1,55,28,85,54,26,85,52,23,79,60,36,84,47,10,73
"003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,60,33,88,49,21,84,52,22,77,50,33,82,41,6,67,34,22,72,34,6,74,32,15,61,-1,-1,-1,-1,-1,-1,52,26,84,40,14,79,42,14,68,50,26,76,-1,-1,-1,55,30,88,48,19,85,57,24,80,42,30,81,44,6,74,44,17,85,40,14,80,36,13,70,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,36,88,51,23,82,47,20,74,60,38,83,-1,-1,-1,23,8,68,18,5,63,19,4,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,11,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,40,94,57,27,89,64,28,84,56,38,86,53,9,78
"003902",-1,-1,-1,69,31,96,58,16,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,67,100,79,50,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,22,85,65,36,92,55,24,86,65,38,87,48,16,73,-1,-1,-1,41,16,76,30,9,66,42,26,65,-1,-1,-1,41,14,76,53,25,88,41,15,77,57,31,80,35,8,61,55,22,82,65,37,93,60,27,89,66,37,87,52,21,76,41,14,80,58,32,89,43,18,80,65,30,85,42,14,69,-1,-1,-1,50,36,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,22,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,22,88,65,35,91,50,20,82,64,39,87,44,12,69,27,6,67,42,14,84,28,5,71,42,19,71,-1,-1,-1,27,9,49,31,13,67,28,7,55,31,12,55,-1,-1,-1,61,26,89,70,40,94,61,27,90,66,42,89,53,18,76
