CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"001902001","0","0","0","1","0","0","0","CAYUGA H S","N","ANDERSON","001","Met Standard","CAYUGA ISD","001902","09 - 12","S"
"001902041","0","0","1","0","0","0","0","CAYUGA MIDDLE","N","ANDERSON","001","Met Standard","CAYUGA ISD","001902","06 - 08","M"
"001902103","1","0","1","1","1","0"," ","CAYUGA EL","N","ANDERSON","001","Met Standard","CAYUGA ISD","001902","PK - 05","E"
"001903001","0","1","0","0","1","0","1","ELKHART H S","N","ANDERSON","001","Met Standard","ELKHART ISD","001903","09 - 12","S"
"001903041","1","0","1","0","1","1","0","ELKHART MIDDLE","N","ANDERSON","001","Met Standard","ELKHART ISD","001903","06 - 08","M"
"001903101"," "," "," "," "," "," "," ","ELKHART EL","N","ANDERSON","001","Met Standard","ELKHART ISD","001903","EE - 02","E"
"001903102","1","1","1","1","0","0"," ","ELKHART INT","N","ANDERSON","001","Met Standard","ELKHART ISD","001903","03 - 05","E"
"001904001","0","1","0","0","0","0","0","FRANKSTON H S","N","ANDERSON","001","Met Standard","FRANKSTON ISD","001904","09 - 12","S"
"001904041","0","1","0","0","1","0","1","FRANKSTON MIDDLE","N","ANDERSON","001","Met Standard","FRANKSTON ISD","001904","06 - 08","M"
"001904102","0","0","0","1","1","0"," ","FRANKSTON EL","N","ANDERSON","001","Met Standard","FRANKSTON ISD","001904","EE - 05","E"
"001906002","1","0","1","0","0","1","0","NECHES H S","N","ANDERSON","001","Met Standard","NECHES ISD","001906","09 - 12","S"
"001906102","0","0","1","0","0","0","1","NECHES EL","N","ANDERSON","001","Met Standard","NECHES ISD","001906","PK - 08","E"
"001907001","0","0","0","0","0","0","0","PALESTINE H S","N","ANDERSON","001","Met Standard","PALESTINE ISD","001907","09 - 12","S"
"001907041","0","0","0","0","0","0","0","PALESTINE J H","N","ANDERSON","001","Met Standard","PALESTINE ISD","001907","07 - 08","M"
"001907101"," "," "," "," "," "," "," ","NORTHSIDE PRI","N","ANDERSON","001","Improvement Required","PALESTINE ISD","001907","KG - 01","E"
"001907102"," "," "," "," "," "," "," ","WASHINGTON EARLY CHILDHOOD CENTER","N","ANDERSON","001","Improvement Required","PALESTINE ISD","001907","EE - PK","E"
"001907107","0","0","0"," ","0"," "," ","SOUTHSIDE EL","N","ANDERSON","001","Improvement Required","PALESTINE ISD","001907","02 - 03","E"
"001907110","0","0","0","0","0","0"," ","STORY INT","N","ANDERSON","001","Met Standard","PALESTINE ISD","001907","04 - 06","E"
"001908002","0","0","0","1","0","1","0","WESTWOOD H S","N","ANDERSON","001","Met Standard","WESTWOOD ISD","001908","09 - 12","S"
"001908041","0","0","0","0","0","0","0","WESTWOOD J H","N","ANDERSON","001","Met Standard","WESTWOOD ISD","001908","07 - 08","M"
"001908101","0","0","0","0","0","0"," ","WESTWOOD EL","N","ANDERSON","001","Improvement Required","WESTWOOD ISD","001908","03 - 06","E"
"001908102"," "," "," "," "," "," "," ","WESTWOOD PRI","N","ANDERSON","001","Improvement Required","WESTWOOD ISD","001908","EE - 02","E"
"001909001","0","0","1","0","1","1","1","SLOCUM H S","N","ANDERSON","001","Met Standard","SLOCUM ISD","001909","09 - 12","S"
"001909101","0","0","0","0","0","0","0","SLOCUM PK - 8","N","ANDERSON","001","Met Standard","SLOCUM ISD","001909","PK - 08","E"
"002901001","0","1","1","0","0","1","0","ANDREWS H S","N","ANDREWS","002","Met Standard","ANDREWS ISD","002901","09 - 12","S"
"002901002"," "," "," "," "," "," "," ","ANDREWS EDUCATION CENTER","N","ANDREWS","002","Met Alternative Standard","ANDREWS ISD","002901","09 - 12","S"
"002901041","0","0","0","0","0","0","0","ANDREWS MIDDLE","N","ANDREWS","002","Met Standard","ANDREWS ISD","002901","06 - 08","M"
"002901101","0","0","0"," ","0"," "," ","DEVONIAN EL","N","ANDREWS","002","Met Standard","ANDREWS ISD","002901","02 - 03","E"
"002901104","0","0","0","0","0","0"," ","UNDERWOOD EL","N","ANDREWS","002","Met Standard","ANDREWS ISD","002901","04 - 05","E"
"002901105"," "," "," "," "," "," "," ","CLEARFORK EL","N","ANDREWS","002","Met Standard","ANDREWS ISD","002901","EE - 01","E"
"003801001","0","0","0","0","0","0","0","PINEYWOODS COMMUNITY ACADEMY H S","Y","ANGELINA","003","Met Standard","PINEYWOODS COMMUNITY ACADEMY","003801","09 - 12","S"
"003801042","0","0","0","0","0","1","0","DR TERRY ROBBINS MIDDLE","Y","ANGELINA","003","Met Standard","PINEYWOODS COMMUNITY ACADEMY","003801","06 - 08","M"
"003801103","0","0","0","1","1","1"," ","SARAH STRINDEN EL","Y","ANGELINA","003","Met Standard","PINEYWOODS COMMUNITY ACADEMY","003801","PK - 05","E"
"003902001","1","1","1","0","1","0","1","HUDSON H S","N","ANGELINA","003","Met Standard","HUDSON ISD","003902","09 - 12","S"
"003902004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","N","ANGELINA","003","Not Rated","HUDSON ISD","003902","10 - 12","S"
"003902041","1","1","1","1","1","0","1","HUDSON MIDDLE","N","ANGELINA","003","Met Standard","HUDSON ISD","003902","06 - 08","M"
"003902101"," "," "," "," "," "," "," ","W F PEAVY PRI","N","ANGELINA","003","Met Standard","HUDSON ISD","003902","EE - 02","E"
"003902102","0","1","0","0","0","0"," ","W H BONNER EL","N","ANGELINA","003","Met Standard","HUDSON ISD","003902","03 - 05","E"
"003903001","1","1","1","0","1","1","1","LUFKIN H S","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","09 - 12","S"
"003903004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","N","ANGELINA","003","Met Alternative Standard","LUFKIN ISD","003903","09 - 12","S"
"003903044","0","1","0","0","0","0","0","LUFKIN MIDDLE","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","06 - 08","M"
"003903120","0","0","0","0","0","1"," ","ANDERSON EL","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","03 - 05","E"
"003903121","0","1","0","0","1","0"," ","BRANDON EL","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","03 - 05","E"
"003903122","0","0","0","0","0","0"," ","BROOKHOLLOW EL","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","03 - 05","E"
